distance,delta
0.0680703,0.00224217
0.0614175,-0.022355
0.333934,-0.0292468
0.326901,0.00122401
0.521853,-0.00622826
0.147059,-0.0142463
0.37026,-0.0186979
0.627116,-0.0177411
0.178153,-0.0140901
0.351316,-0.00756641
0.133585,-0.00858533
0.159169,0.00489368
0.351203,-0.0152653
0.0696502,-0.00715016
0.159669,-0.00341868
0.230739,0.00363635
0.19546,-0.00796041
0.352862,-0.0169243
0.383923,-0.00892331
0.641847,-0.0168471
0.121937,-0.020374
0.125751,0.0148739
0.19051,-0.0030099
0.137516,-0.000797741
0.053767,0.000920512
0.1362,0.00442528
0.180006,0.00749351
0.292804,-0.00374115
0.240572,-0.00229085
0.349102,-0.0131644
0.429274,-0.00739924
0.179618,-0.0155556
0.472206,-0.0268939
